order_id,order_date,ChannelType,meta:_wc_order_attribution_utm_source,meta:_wc_order_attribution_source_type,Sessions,Orders,Order Total
54344,2025-08-30 11:25:40,Paid Search,google,utm,4,1,52.5
54345,2025-08-30 13:19:38,SEO,google,organic,66,1,1881.5
54346,2025-08-30 21:00:28,Paid Search,google,utm,10,1,596
54347,2025-08-31 8:58:10,Paid Search,google,utm,7,1,98
54348,2025-08-31 12:44:00,Direct,(direct),typein,7,1,106
54349,2025-08-31 15:36:04,Direct,(direct),typein,9,1,193
54350,2025-08-31 18:10:25,Paid Search,google,utm,4,1,657
54351,2025-09-01 16:25:48,SEO,google,organic,5,1,167
54352,2025-09-01 21:55:58,Direct,(direct),typein,6,1,1435
54353,2025-09-02 7:32:42,Direct,(direct),typein,7,1,603.25
54354,2025-09-02 12:04:09,Direct,(direct),typein,11,1,575
54355,2025-09-02 14:02:21,Direct,(direct),typein,11,1,1469
54356,2025-09-02 16:37:23,Direct,(direct),typein,23,1,2872.5
54357,2025-09-02 21:00:33,SEO,google,organic,9,1,1563.75
54358,2025-09-02 21:17:56,SEO,google,organic,4,1,917
54359,2025-09-03 0:26:18,Paid Search,google,utm,6,1,31.5
54361,2025-09-03 9:06:03,SEO,google,organic,5,1,31
54363,2025-09-03 10:40:42,SEO,google,organic,12,1,784
54365,2025-09-03 13:12:46,SEO,google,organic,26,1,730
54366,2025-09-03 14:50:15,Paid Search,google,utm,6,1,186.75
54367,2025-09-04 14:41:59,SEO,google,organic,23,1,778.5
54368,2025-09-04 19:07:24,SEO,google,organic,5,1,721.5
54369,2025-09-04 19:42:32,SEO,google,organic,6,1,165
54370,2025-09-05 10:11:57,SEO,google,organic,71,1,2107.25
54371,2025-09-06 6:57:59,Direct,(direct),typein,6,1,196
54372,2025-09-06 6:58:59,Direct,(direct),typein,7,1,212
54373,2025-09-06 13:22:28,SEO,google,organic,28,1,229.5
54374,2025-09-06 22:34:06,SEO,google,organic,14,1,59
54375,2025-09-07 17:04:20,Paid Search,google,utm,6,1,508.25
54376,2025-09-07 17:36:53,Paid Search,google,utm,4,1,143.25
54377,2025-09-07 19:30:25,SEO,google,organic,7,1,119
54378,2025-09-07 19:34:53,SEO,google,organic,5,1,229
